protected_idx,original_idx,similarity,protected_id,original_id,confidence,ml_match_probability,ml_refined,distance_refined,refinement_skipped,refinement_distance,refinement_reason
14050,6008,0.9979686541136291,d32fb01fe3544d83e14f8bc3c12a62cd,6008,high,1.0,False,False,True,,High confidence
407,8830,0.9979672624433873,2b1db8d01949befcf98cb715439a471a,8830,high,1.0,False,False,True,,High confidence
1720,13966,0.9979629199331007,544909daf9f97fa387594a0dc33b442e,13966,high,1.0,False,False,True,,High confidence
19306,8472,0.9979626381580579,57302eb6f52513769c81e272c66d1398,8472,high,1.0,False,False,True,,High confidence
18414,4648,0.9979625210735839,8ba4e638500d35604ee3fcbe7cfeae9e,4648,high,1.0,False,False,True,,High confidence
12033,18006,0.9979616809436734,483f4098f49c4afa12d9ea02dc525cc5,18006,high,1.0,False,False,True,,High confidence
8855,7252,0.9979605344344076,bca096b850b3a09beed9391bed13e1dc,7252,high,1.0,False,False,True,,High confidence
11152,13012,0.9979591261669353,068b345b3affc53f39852ae3acebbd99,13012,high,1.0,False,False,True,,High confidence
14673,16047,0.997957911117505,3cd234114a3ffc051acfe8a9ecb5d2bd,16047,high,1.0,False,False,True,,High confidence
1030,8020,0.9979573615369912,07c36d7e564b8313fe55022ac748ac96,8020,high,1.0,False,False,True,,High confidence
9428,5205,0.9979533180709456,b02c2200b06f94c895a5f54b5a49e399,5205,high,1.0,False,False,True,,High confidence
15370,4624,0.9979528089847777,cd71bd105498de102f8efab79f37289a,4624,high,1.0,False,False,True,,High confidence
1750,6935,0.9979502389582472,549b9b42821d2e5d1c48899abae23b61,6935,high,1.0,False,False,True,,High confidence
4324,9668,0.9979469273029814,7d156747d1bf179374d306e421d2d009,9668,high,1.0,False,False,True,,High confidence
17563,9087,0.997945803560673,06f0b43cdb7ef178627899d8dc168933,9087,high,1.0,False,False,True,,High confidence
18416,374,0.9979446054241836,a8f1b2708caec8a2cae7e782cb67019a,374,high,1.0,False,False,True,,High confidence
3961,11078,0.9979436168441485,b7077e963be42dd623cd5e024f30c9c9,11078,high,1.0,False,False,True,,High confidence
6535,8198,0.9979435273799154,48ce1321ea4fd9aaf02eb8c894995223,8198,high,1.0,False,False,True,,High confidence
8746,5896,0.9979399495443312,f94b2728e1cc37b710fd054e446b0313,5896,high,1.0,False,False,True,,High confidence
11360,12194,0.9979340047511019,85bc9acb50aa21cddd43ec1dff40b9c5,12194,high,1.0,False,False,True,,High confidence
8051,16634,0.997926361238663,497c30b787c05d01780e014e8df8bcb8,16634,high,1.0,False,False,True,,High confidence
16863,15514,0.997924931971705,cbef88aa8c094fc810fa13d9cfb7b8c8,15514,high,1.0,False,False,True,,High confidence
427,8292,0.9979223312651041,94a49d757b4e7820f1c8826e4dfaf822,8292,high,1.0,False,False,True,,High confidence
14535,17204,0.9979222933662331,4930876b167293e15d5634dfde4d0cfe,17204,high,1.0,False,False,True,,High confidence
2649,15065,0.9979215901463333,0f36783207097e6b71b13be2679aa445,15065,high,1.0,False,False,True,,High confidence
19625,18048,0.9979167503728064,0add73eea51b559831131b398df9d1d0,18048,high,1.0,False,False,True,,High confidence
6842,5721,0.9979106329927725,4d6562fead39b211af1f7ec76497e592,5721,high,1.0,False,False,True,,High confidence
8054,7570,0.997909848624157,350cfc380673cff8d1b106fc607fb2be,7570,high,1.0,False,False,True,,High confidence
8126,16142,0.9979027856404077,8f0c778394616a2bd81210e63165fe2c,16142,high,1.0,False,False,True,,High confidence
6561,8482,0.997898416988111,324ca8edf17c8fc23f10120d4fc2b97c,8482,high,1.0,False,False,True,,High confidence
5318,8941,0.9978961386781041,d156addfac8006113e96126fff4b0bc0,8941,high,1.0,False,False,True,,High confidence
17208,18571,0.9978944040218589,3ddd5833c375f54a211cf6b033d5979f,18571,high,1.0,False,False,True,,High confidence
5484,1766,0.9978939645853299,41e4ce67a6abc87455401d6256f63bf0,1766,high,1.0,False,False,True,,High confidence
11894,17333,0.997893251980654,e45dec8f5e7e35356ed3837adc033320,17333,high,1.0,False,False,True,,High confidence
12115,13984,0.9978919104020861,433d8edb48976960b6280639fb205ee6,13984,high,1.0,False,False,True,,High confidence
11913,9314,0.9978903131717524,3b35fedbc7ae8227249cbfd828efe84d,9314,high,1.0,False,False,True,,High confidence
10546,10082,0.9978895152413867,8c857d33c5edf0f1d2bfc20ce2cbd526,10082,high,1.0,False,False,True,,High confidence
1229,2549,0.9978879276314477,175a7adb4ec527995fd9457564d19e16,2549,high,1.0,False,False,True,,High confidence
17271,11826,0.9978867722147271,a5ab26187e625b20912fb5c054ad357c,11826,high,1.0,False,False,True,,High confidence
18851,15048,0.9978858593188287,65fdf81da9b67f8a499aa108eec25301,15048,high,1.0,False,False,True,,High confidence
7002,4965,0.9978844723855224,63f81bb1ddc1ae9c2b934c17bbe900a9,4965,high,1.0,False,False,True,,High confidence
12476,13569,0.997882682174281,20f0c920b270dc2974f704c03f872a67,13569,high,1.0,False,False,True,,High confidence
4267,14497,0.9978811930732475,fff73981e2851eda887bb0e26f23fc3b,14497,high,1.0,False,False,True,,High confidence
6868,8270,0.9978804225268462,26498e830d43b6b9c750aaec503854b1,8270,high,1.0,False,False,True,,High confidence
5580,13566,0.9978790696811999,e9f5f60b81b141759f7221038f834ea7,13566,high,1.0,False,False,True,,High confidence
14072,15245,0.9978784193269682,ca7b396bdf0bbdd648ddda90f42541df,15245,high,1.0,False,False,True,,High confidence
19283,10478,0.9978764838069774,a6c4ef8c171649b27873b6e7b2e29865,10478,high,1.0,False,False,True,,High confidence
6554,16756,0.9978758632385664,109c4591edad4b5e3dd74245e9170b60,16756,high,1.0,False,False,True,,High confidence
19732,15636,0.9978736472329643,2dcaad1b20c4aba612e352e50dde2fcd,15636,high,1.0,False,False,True,,High confidence
5680,19435,0.9978714068446602,80c30cf9b20fd52b6601e93d16fa5b97,19435,high,1.0,False,False,True,,High confidence
12102,18697,0.9978707960973539,b6257bef9123da69bd9985fa9e90f6f2,18697,high,1.0,False,False,True,,High confidence
10117,19675,0.9978705314830025,35464275bdec7f18ac3c013388acf63e,19675,high,1.0,False,False,True,,High confidence
4276,10895,0.9978683342630619,cc0df6f6a0a124e5477948d5e32c271c,10895,high,1.0,False,False,True,,High confidence
12062,4674,0.9978653989478328,b358f3af00d11d1fda08bb8cee98eea1,4674,high,1.0,False,False,True,,High confidence
3344,16366,0.9978630045771043,c67d809dade56d371019f356ecb25fb9,16366,high,1.0,False,False,True,,High confidence
5884,8591,0.9978622316006363,79ceef622c7b11d482d38d10698bb112,8591,high,1.0,False,False,True,,High confidence
3174,8700,0.9978607401075222,2a32d0ed48004c9b3e2177ade8dc0ea4,8700,high,1.0,False,False,True,,High confidence
1865,6756,0.9978587590644165,18cb84ebaadbcaafa47073395ff15c1d,6756,high,1.0,False,False,True,,High confidence
3651,5268,0.9978585025723617,c0b5a03c8359176fb0980f5047a9672c,5268,high,1.0,False,False,True,,High confidence
14158,12936,0.997857429944969,4cfc12131dd11902b38154552c608baa,12936,high,1.0,False,False,True,,High confidence
10550,11852,0.9978565572733964,65b9ff8b03ac217b9024c21266e1b403,11852,high,1.0,False,False,True,,High confidence
4005,5751,0.9978561223820577,ab647b842be5161d4f09c486fb75ff87,5751,high,1.0,False,False,True,,High confidence
13162,18921,0.9978561161181997,16a57437cc2a438e389061b6752da58d,18921,high,1.0,False,False,True,,High confidence
1116,5513,0.9978549376600417,dac62574edfc3c95346daec9e6031816,5513,high,1.0,False,False,True,,High confidence
225,6813,0.9978547664923179,8cf7e267a747355cdc82509fc90910b7,6813,high,1.0,False,False,True,,High confidence
16680,8160,0.9978538860509918,afb77fcd0d8d8674c5673de164a98f29,8160,high,1.0,False,False,True,,High confidence
13148,2623,0.9978522186408314,8d63b27b69b7ebca53488a4d71c8045b,2623,high,1.0,False,False,True,,High confidence
12010,15817,0.9978510512523369,41c52f164908200e2d1a67e87a9090c2,15817,high,1.0,False,False,True,,High confidence
8268,12525,0.9978509901013797,a62be3e472fbbe1bae27569cddb13b99,12525,high,1.0,False,False,True,,High confidence
4256,14754,0.9978509170259795,c4ff0dbd4006df64d141d9a35136d488,14754,high,1.0,False,False,True,,High confidence
19835,854,0.9978484105427622,64511d7253c0dd61eb6a88e26c0a6d9a,854,high,1.0,False,False,True,,High confidence
10615,12551,0.9978470722852285,88cf5f47f36e590020d1f7c27d3e49b1,12551,high,1.0,False,False,True,,High confidence
13327,5499,0.9978459107512215,c06a11953ebd32d59fe32480dfa73200,5499,high,1.0,False,False,True,,High confidence
19113,11246,0.9978454972964784,e17268edfca1f8a146739f648dd5e478,11246,high,1.0,False,False,True,,High confidence
18406,3155,0.9978444015625489,b2fc61df49a1eff397e49cc91af2930a,3155,high,1.0,False,False,True,,High confidence
3729,2051,0.9978442877311746,d3609db8a934a96587c356406571c81c,2051,high,1.0,False,False,True,,High confidence
9598,7632,0.9978439326149053,8b52d81cb0a0e0f9fa81b307868d32dc,7632,high,1.0,False,False,True,,High confidence
2209,12148,0.9978416376063551,ef82815ce8d099d1ab8d0b1ea1a04b78,12148,high,1.0,False,False,True,,High confidence
7451,6787,0.9978402283513125,ebcda84d4d84e78dead577668b32fd1b,6787,high,1.0,False,False,True,,High confidence
17830,18744,0.9978372194564894,ff611c6a7db3b21f01f6458dc50ee164,18744,high,1.0,False,False,True,,High confidence
6780,8850,0.9978370784933717,6e6bdddfd7ff62fd3db68a8ba576b1a7,8850,high,1.0,False,False,True,,High confidence
4698,6886,0.9978354318710129,c2d6b081b426ac8278dca0ae3ce5447e,6886,high,1.0,False,False,True,,High confidence
18145,17091,0.9978308544383697,2c57d0ee84ef5a5fccc8ccb047f1fe3f,17091,high,1.0,False,False,True,,High confidence
12112,11434,0.9978304454285659,0a04fc084f51cb69342899bec465aae3,11434,high,1.0,False,False,True,,High confidence
4852,8206,0.9978273901478735,fb2f710b98cf060962f932588e632b4c,8206,high,1.0,False,False,True,,High confidence
14076,17077,0.997826059648919,4b974307ecf4c463f01a955a4f65c298,17077,high,1.0,False,False,True,,High confidence
5431,18593,0.9978228696394029,1c5c0cd94fb336a6448609b54251f65f,18593,high,1.0,False,False,True,,High confidence
12425,223,0.9978196148925166,9b5f671a1dc573601687d7523f659669,223,high,1.0,False,False,True,,High confidence
4099,2704,0.9978178950893494,48ed22139107a5d913637131c39d79d4,2704,high,1.0,False,False,True,,High confidence
12912,11502,0.9978169960589197,c7b64a85364ff519bfca3edb29182263,11502,high,1.0,False,False,True,,High confidence
12597,2379,0.9978142222358959,af4f408a60bef01beede57c0c5fc7a6f,2379,high,1.0,False,False,True,,High confidence
17729,8461,0.9978139366386439,98435bae447900ee4e07662bd9048f49,8461,high,1.0,False,False,True,,High confidence
10163,2377,0.9978128461369198,43c519c0eb7bd117f5690bf8c4399488,2377,high,1.0,False,False,True,,High confidence
19025,9524,0.9978125369582268,6e236072a5b6a6c21a2909d02c89c109,9524,high,1.0,False,False,True,,High confidence
6538,106,0.9978119111956987,9e3dd44d91228e01540c6b716b69e862,106,high,1.0,False,False,True,,High confidence
10102,10843,0.9978112121416394,6ab10537aeb005412d3dc172f076a1fa,10843,high,1.0,False,False,True,,High confidence
12584,7890,0.9978107942619386,0d6e8c48f4b7283e6290cac40c969692,7890,high,1.0,False,False,True,,High confidence
2228,6134,0.9978103107095091,140df532a770e0b58df554587ba5c454,6134,high,1.0,False,False,True,,High confidence
11403,3110,0.9978090064588822,3fc74b62e87b8d9613ab875ea640644d,3110,high,1.0,False,False,True,,High confidence
13670,12230,0.9978079434447285,201db537e4a176887268dbdcb788959e,12230,high,1.0,False,False,True,,High confidence
14018,3339,0.9978051138189327,4a16d95ab8889386fc0efd89ea09eb13,3339,high,1.0,False,False,True,,High confidence
